,0
71,"JobElement(job_id=72, title=Forest/woodland manager, subtitle=Blankenship, Knight and Powell, location=Millsbury, AE, date=2021-04-08)"
72,"JobElement(job_id=73, title=Clinical cytogeneticist, subtitle=Patton, Haynes and Jones, location=Lloydton, AP, date=2021-04-08)"
73,"JobElement(job_id=74, title=Print production planner, subtitle=Wood Inc, location=Port Jeremy, AA, date=2021-04-08)"
74,"JobElement(job_id=75, title=Systems developer, subtitle=Collins Group, location=New Elizabethtown, AA, date=2021-04-08)"
75,"JobElement(job_id=76, title=Graphic designer, subtitle=Flores-Nelson, location=Charlesstad, AE, date=2021-04-08)"
76,"JobElement(job_id=77, title=Writer, subtitle=Mitchell, Jones and Olson, location=Josephbury, AE, date=2021-04-08)"
77,"JobElement(job_id=78, title=Field seismologist, subtitle=Howard Group, location=Seanfurt, AA, date=2021-04-08)"
78,"JobElement(job_id=79, title=Chief Strategy Officer, subtitle=Kramer-Edwards, location=Williambury, AA, date=2021-04-08)"
79,"JobElement(job_id=80, title=Air cabin crew, subtitle=Berry-Houston, location=South Jorgeside, AP, date=2021-04-08)"
80,"JobElement(job_id=81, title=Python Programmer (Entry-Level), subtitle=Mathews Inc, location=Robertborough, AP, date=2021-04-08)"
81,"JobElement(job_id=82, title=Warden/ranger, subtitle=Riley-Johnson, location=South Saratown, AP, date=2021-04-08)"
82,"JobElement(job_id=83, title=Sports therapist, subtitle=Spencer and Sons, location=Hullview, AA, date=2021-04-08)"
83,"JobElement(job_id=84, title=Arts development officer, subtitle=Camacho-Sanchez, location=Philipland, AP, date=2021-04-08)"
84,"JobElement(job_id=85, title=Printmaker, subtitle=Oliver and Sons, location=North Patty, AE, date=2021-04-08)"
85,"JobElement(job_id=86, title=Health and safety adviser, subtitle=Eaton PLC, location=North Stephen, AE, date=2021-04-08)"
86,"JobElement(job_id=87, title=Manufacturing systems engineer, subtitle=Stanley-Frederick, location=Stevensland, AP, date=2021-04-08)"
87,"JobElement(job_id=88, title=Programmer, applications, subtitle=Bradley LLC, location=Reyesstad, AE, date=2021-04-08)"
88,"JobElement(job_id=89, title=Medical physicist, subtitle=Parker, Goodwin and Zavala, location=Bellberg, AP, date=2021-04-08)"
89,"JobElement(job_id=90, title=Media planner, subtitle=Kim-Miles, location=North Johnland, AE, date=2021-04-08)"
90,"JobElement(job_id=91, title=Software Developer (Python), subtitle=Moreno-Rodriguez, location=Martinezburgh, AE, date=2021-04-08)"
91,"JobElement(job_id=92, title=Surveyor, land/geomatics, subtitle=Brown-Ortiz, location=Joshuatown, AE, date=2021-04-08)"
92,"JobElement(job_id=93, title=Legal executive, subtitle=Hartman PLC, location=West Ericstad, AA, date=2021-04-08)"
93,"JobElement(job_id=94, title=Librarian, academic, subtitle=Brooks Inc, location=Tuckertown, AE, date=2021-04-08)"
94,"JobElement(job_id=95, title=Barrister, subtitle=Washington-Castillo, location=Perezton, AE, date=2021-04-08)"
95,"JobElement(job_id=96, title=Museum/gallery exhibitions officer, subtitle=Nguyen, Yoder and Petty, location=Lake Abigail, AE, date=2021-04-08)"
96,"JobElement(job_id=97, title=Radiographer, diagnostic, subtitle=Holder LLC, location=Jacobshire, AP, date=2021-04-08)"
97,"JobElement(job_id=98, title=Database administrator, subtitle=Yates-Ferguson, location=Port Susan, AE, date=2021-04-08)"
98,"JobElement(job_id=99, title=Furniture designer, subtitle=Ortega-Lawrence, location=North Tiffany, AA, date=2021-04-08)"
99,"JobElement(job_id=100, title=Ship broker, subtitle=Fuentes, Walls and Castro, location=Michelleville, AP, date=2021-04-08)"
